"last_name, first_name","player_id","year","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Webb, Logan",657277,2024,"SF","CH","Changeup",-0.4,-4,990,30.9,319,0.275,0.411,0.322,21.6,17.9,16.4,0.308,0.502,0.366,51.6
"Anderson, Tyler",542881,2024,"LAA","CH","Changeup",1.6,17,1082,37.1,302,0.185,0.259,0.246,39.6,24.5,22.4,0.217,0.31,0.272,20.1
"Sánchez, Cristopher",650911,2024,"PHI","CH","Changeup",1.8,18,998,35.7,292,0.177,0.22,0.208,34.8,31.2,20.9,0.178,0.225,0.194,22
"Wacha, Michael",608379,2024,"KC","CH","Changeup",2,17,839,32.2,246,0.169,0.312,0.224,34.1,31.7,21.8,0.175,0.307,0.228,26.1
"Hendricks, Kyle",543294,2024,"CHC","CH","Changeup",-1.1,-9,827,38.7,246,0.267,0.409,0.316,23.9,15.4,13.2,0.244,0.37,0.296,22.4
"King, Michael",650633,2024,"SD","CH","Changeup",1.4,10,713,24.6,236,0.207,0.286,0.265,36.2,28,23.7,0.217,0.276,0.255,19.9
"Skubal, Tarik",669373,2024,"DET","CH","Changeup",0.9,7,771,26.9,235,0.216,0.322,0.261,46.1,34.9,30.6,0.209,0.313,0.236,28.6
"Canning, Griffin",656288,2024,"LAA","CH","Changeup",0.5,4,765,26.7,229,0.259,0.387,0.318,28.8,16.6,17.4,0.247,0.37,0.293,36.9
"Ober, Bailey",641927,2024,"MIN","CH","Changeup",1,8,792,29.4,223,0.154,0.285,0.212,39.5,37.7,26,0.164,0.263,0.206,22.1
"Ragans, Cole",666142,2024,"KC","CH","Changeup",1,7,740,23.7,197,0.183,0.28,0.26,47.8,31,25.2,0.183,0.271,0.253,21.9
"Bello, Brayan",678394,2024,"BOS","CH","Changeup",0.1,1,730,26.9,197,0.177,0.354,0.271,36.9,26.9,23.5,0.213,0.37,0.287,30.2
"Blanco, Ronel",669854,2024,"HOU","CH","Changeup",0.7,4,608,22.1,180,0.188,0.356,0.285,34.3,32.2,23.7,0.196,0.294,0.261,29.8
"López, Pablo",641154,2024,"MIN","CH","Changeup",-0.7,-4,599,20.1,166,0.281,0.359,0.309,24.9,19.9,18.3,0.261,0.349,0.297,24.8
"Rogers, Trevor",669432,2024,"BAL","CH","Changeup",-1.1,-6,533,23.8,158,0.295,0.396,0.347,23.8,17.1,12.7,0.265,0.351,0.293,45.1
"Sears, JP",676664,2024,"OAK","CH","Changeup",-0.2,-1,549,19.2,155,0.297,0.428,0.332,18.8,6.5,8.4,0.282,0.451,0.334,29.2
"Pérez, Martín",527048,2024,"SD","CH","Changeup",-1.4,-7,501,22.7,152,0.28,0.448,0.345,34.1,27,23.4,0.264,0.434,0.32,31.1
"Pepiot, Ryan",686752,2024,"TB","CH","Changeup",-1.2,-6,504,23.5,149,0.216,0.353,0.3,28.6,28.9,20.4,0.24,0.34,0.278,34
"Cabrera, Edward",665795,2024,"MIA","CH","Changeup",-0.6,-4,576,33.2,148,0.206,0.321,0.295,33.8,29.1,24.4,0.219,0.372,0.301,42.7
"Martinez, Nick",607259,2024,"CIN","CH","Changeup",1.5,7,460,21.6,144,0.186,0.286,0.217,41.6,32.6,22.8,0.184,0.243,0.2,17.2
"Bibee, Tanner",676440,2024,"CLE","CH","Changeup",0.9,5,512,18,144,0.238,0.431,0.319,29.1,33.3,24.9,0.229,0.371,0.296,25.3
"Criswell, Cooper",681867,2024,"BOS","CH","Changeup",0.7,3,459,26.1,143,0.256,0.338,0.287,17.1,11.2,9.8,0.257,0.36,0.292,38.7
