"last_name, first_name","player_id","year","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Webb, Logan",657277,2023,"SF","CH","Changeup",2.1,28,1324,41.6,433,0.225,0.309,0.254,22.8,21.2,19.8,0.236,0.322,0.257,44
"Hendricks, Kyle",543294,2023,"CHC","CH","Changeup",1.4,12,867,41.1,298,0.18,0.279,0.233,32.4,23.5,18.6,0.205,0.286,0.234,17.8
"Giolito, Lucas",608337,2023,"CLE","CH","Changeup",0.1,1,902,28.3,242,0.209,0.442,0.33,35.2,26.9,21,0.213,0.403,0.306,30.5
"Wacha, Michael",608379,2023,"SD","CH","Changeup",1.6,12,766,34.5,219,0.207,0.346,0.26,35.9,32,20.8,0.189,0.308,0.234,25.9
"Anderson, Tyler",542881,2023,"LAA","CH","Changeup",0.6,5,823,33.9,202,0.238,0.381,0.284,39.8,29.7,22.5,0.218,0.353,0.264,24.2
"López, Pablo",641154,2023,"MIN","CH","Changeup",0.6,4,638,21.1,200,0.257,0.41,0.335,28.4,22.5,21,0.225,0.337,0.283,36
"Sandoval, Patrick",663776,2023,"LAA","CH","Changeup",0.1,1,675,25.8,193,0.184,0.33,0.273,43.2,30.6,21.5,0.221,0.387,0.29,27.5
"Alcantara, Sandy",645261,2023,"MIA","CH","Changeup",-0.6,-5,744,27.3,190,0.282,0.401,0.331,30.3,19.5,16.2,0.262,0.386,0.305,40.8
"Richards, Trevor",670950,2023,"TOR","CH","Changeup",1,8,765,56.6,185,0.165,0.353,0.257,48,42.2,26.6,0.164,0.297,0.235,24.7
"Ober, Bailey",641927,2023,"MIN","CH","Changeup",1.2,8,652,28,185,0.226,0.35,0.268,29.8,24.9,19.6,0.225,0.346,0.263,26.7
"Kelly, Merrill",518876,2023,"AZ","CH","Changeup",2.5,16,648,23.1,180,0.18,0.234,0.218,32,28.3,21.9,0.234,0.331,0.275,35.3
"Montgomery, Jordan",656756,2023,"TEX","CH","Changeup",-0.2,-1,671,23,173,0.239,0.405,0.302,39.2,23.1,20.8,0.23,0.394,0.286,27.4
"Bello, Brayan",678394,2023,"BOS","CH","Changeup",1.4,9,626,23.9,172,0.196,0.291,0.254,38.7,33.1,25.7,0.171,0.256,0.219,25
"Berríos, José",621244,2023,"TOR","CH","Changeup",-0.1,-1,543,18.5,171,0.245,0.409,0.314,33,26.9,24.3,0.238,0.351,0.284,25.7
"Rodriguez, Grayson",680570,2023,"BAL","CH","Changeup",1.6,7,471,22.4,165,0.201,0.318,0.26,28.3,24.2,18.2,0.212,0.303,0.252,35.1
"Pérez, Martín",527048,2023,"TEX","CH","Changeup",-1.2,-7,588,26.5,164,0.316,0.447,0.351,28.1,15.2,14.8,0.274,0.384,0.302,29.8
"Cabrera, Edward",665795,2023,"MIA","CH","Changeup",1.6,9,565,31.4,163,0.186,0.3,0.283,36.3,27.6,23.9,0.175,0.248,0.255,26.3
"Matz, Steven",571927,2023,"STL","CH","Changeup",0.4,2,511,27.4,155,0.291,0.405,0.326,28.9,21.9,16.5,0.268,0.39,0.301,36
"Luzardo, Jesús",666200,2023,"MIA","CH","Changeup",-0.3,-2,626,21,153,0.248,0.429,0.347,36.1,21.6,18.1,0.223,0.381,0.308,28.4
"Williams, Devin",642207,2023,"MIL","CH","Changeup",2.6,14,549,57.9,151,0.097,0.187,0.21,43.2,37.7,30.8,0.151,0.254,0.231,24.7
"Castillo, Luis",622491,2023,"SEA","CH","Changeup",-1.9,-9,500,15.6,151,0.28,0.42,0.326,32.5,23.2,17.4,0.263,0.408,0.3,27.3
"Gibson, Kyle",502043,2023,"BAL","CH","Changeup",-0.4,-2,517,17,151,0.288,0.453,0.344,29.1,18.5,17.6,0.269,0.428,0.324,42.9
"Sánchez, Cristopher",650911,2023,"PHI","CH","Changeup",0.9,4,477,32.7,143,0.148,0.274,0.218,43,40.6,27.8,0.165,0.269,0.21,23.1
"Heaney, Andrew",571760,2023,"TEX","CH","Changeup",-0.6,-2,441,16.9,142,0.274,0.452,0.347,24,10.6,15.8,0.304,0.518,0.362,31.4
"Martinez, Nick",607259,2023,"SD","CH","Changeup",2,10,504,28.8,141,0.158,0.226,0.193,46.5,35.5,26.7,0.17,0.25,0.205,17.9
"Miley, Wade",489119,2023,"MIL","CH","Changeup",0,0,460,24.6,141,0.219,0.281,0.278,23.9,15.6,15.3,0.232,0.294,0.269,25.2
"Snell, Blake",605483,2023,"SD","CH","Changeup",2.2,13,584,18.4,141,0.185,0.266,0.259,46.8,18.4,26.3,0.204,0.299,0.273,15.3
"Lorenzen, Michael",547179,2023,"PHI","CH","Changeup",-0.2,-1,510,21.5,140,0.186,0.403,0.265,31.4,23.6,16.5,0.215,0.364,0.265,28
"Canning, Griffin",656288,2023,"LAA","CH","Changeup",1.2,5,442,20.3,138,0.214,0.341,0.279,24.9,18.8,15.5,0.246,0.392,0.309,42
"Brito, Jhony",666745,2023,"NYY","CH","Changeup",-0.2,-1,419,29,135,0.232,0.392,0.297,28.2,24.4,19.1,0.229,0.389,0.292,34
"McClanahan, Shane",663556,2023,"TB","CH","Changeup",2.1,10,470,25.8,134,0.153,0.191,0.163,54.5,41,30.2,0.181,0.248,0.196,25
